,POS,BIB,ATHLETE,COUNTRY,MARK,Reaction Time,location,event,sex,category,ms*
3,4.0,2382,Luminosa BOGLIOLO,ITA,12.75 NR,0.143,Tokyo,100-metres-hurdles,women,semi-final,
4,5.0,2022,Tiffany PORTER,GBR,12.86,0.15,Tokyo,100-metres-hurdles,women,semi-final,
5,6.0,3180,Pia SKRZYSZOWSKA,POL,12.89,0.128,Tokyo,100-metres-hurdles,women,semi-final,
6,7.0,2260,Mulern JEAN,HAI,13.09,0.156,Tokyo,100-metres-hurdles,women,semi-final,0.088
7,8.0,1133,Pedrya SEYMOUR,BAH,13.09,0.185,Tokyo,100-metres-hurdles,women,semi-final,0.09
0,1.0,3248,Jasmine CAMACHO-QUINN,PUR,12.26 Q OR,0.175,Tokyo,100-metres-hurdles,women,semi-final,
1,2.0,2518,Megan TAPPER,JAM,12.62 Q,0.155,Tokyo,100-metres-hurdles,women,semi-final,
2,3.0,3011,Nadine VISSER,NED,12.63 q SB,0.156,Tokyo,100-metres-hurdles,women,semi-final,
3,4.0,3840,Gabriele CUNNINGHAM,USA,12.67 q,0.165,Tokyo,100-metres-hurdles,women,semi-final,
4,5.0,1232,Elvira HERMAN,BLR,12.71,0.129,Tokyo,100-metres-hurdles,women,semi-final,
5,6.0,2847,Ebony MORRISON,LBR,12.74 NR,0.144,Tokyo,100-metres-hurdles,women,semi-final,
6,7.0,2026,Cindy SEMBER,GBR,12.76,0.163,Tokyo,100-metres-hurdles,women,semi-final,
7,8.0,1187,Anne ZAGRÉ,BEL,12.78 SB,0.153,Tokyo,100-metres-hurdles,women,semi-final,
0,1.0,3248,Jasmine CAMACHO-QUINN,PUR,12.37,0.149,Tokyo,100-metres-hurdles,women,final,
1,2.0,3852,Kendra HARRISON,USA,12.52,0.158,Tokyo,100-metres-hurdles,women,final,
2,3.0,2518,Megan TAPPER,JAM,12.55,0.166,Tokyo,100-metres-hurdles,women,final,
3,4.0,3042,Tobi AMUSAN,NGR,12.6,0.161,Tokyo,100-metres-hurdles,women,final,
4,5.0,3011,Nadine VISSER,NED,12.73,0.152,Tokyo,100-metres-hurdles,women,final,
5,6.0,1128,Devynne CHARLTON,BAH,12.74,0.144,Tokyo,100-metres-hurdles,women,final,
6,7.0,3840,Gabriele CUNNINGHAM,USA,13.01,0.172,Tokyo,100-metres-hurdles,women,final,
7,8.0,2457,Britany ANDERSON,JAM,13.24,0.164,Tokyo,100-metres-hurdles,women,final,
0,1.0,2597,Ronald LEVY,JAM,13.17 Q,0.129,Tokyo,110-metres-hurdles,men,heats,
1,2.0,3521,Jason JOSEPH,SUI,13.31 Q SB,0.143,Tokyo,110-metres-hurdles,men,heats,
2,3.0,2277,Valdó SZŰCS,HUN,13.50 Q,0.137,Tokyo,110-metres-hurdles,men,heats,0.496
3,4.0,2062,Andrew POZZI,GBR,13.50 Q,0.135,Tokyo,110-metres-hurdles,men,heats,0.5
4,5.0,1313,Gabriel CONSTANTINO,BRA,13.55 q,0.154,Tokyo,110-metres-hurdles,men,heats,
5,6.0,1200,Michael OBASUYI,BEL,13.65,0.141,Tokyo,110-metres-hurdles,men,heats,
6,7.0,3456,Louis François MENDY,SEN,13.84 SB,0.169,Tokyo,110-metres-hurdles,men,heats,
7,,1943,Wilhem BELOCIAN,FRA,DQ,0.135,Tokyo,110-metres-hurdles,men,heats,
0,1.0,1800,Asier MARTÍNEZ,ESP,13.32 Q,0.146,Tokyo,110-metres-hurdles,men,heats,
1,2.0,3963,Daniel ROBERTS,USA,13.41 Q,0.188,Tokyo,110-metres-hurdles,men,heats,
2,3.0,2635,Damion THOMAS,JAM,13.54 Q,0.142,Tokyo,110-metres-hurdles,men,heats,
3,4.0,1608,Milan TRAJKOVIC,CYP,13.59 Q SB,0.117,Tokyo,110-metres-hurdles,men,heats,
4,5.0,1253,Vitali PARAKHONKA,BLR,13.61,0.133,Tokyo,110-metres-hurdles,men,heats,
5,6.0,1152,Shane BRATHWAITE,BAR,13.64,0.151,Tokyo,110-metres-hurdles,men,heats,
6,7.0,2829,Yaqoub ALYOUHA,KUW,13.69 SB,0.117,Tokyo,110-metres-hurdles,men,heats,
7,8.0,2423,Hassane FOFANA,ITA,13.70,0.161,Tokyo,110-metres-hurdles,men,heats,
0,1.0,3934,Grant HOLLOWAY,USA,13.02 Q,0.127,Tokyo,110-metres-hurdles,men,heats,
1,2.0,2617,Hansle PARCHMENT,JAM,13.23 Q,0.155,Tokyo,110-metres-hurdles,men,heats,
2,3.0,1086,Nicholas HOUGH,AUS,13.57 Q,0.162,Tokyo,110-metres-hurdles,men,heats,
3,4.0,3189,Damian CZYKIER,POL,13.61 Q,0.141,Tokyo,110-metres-hurdles,men,heats,
4,5.0,2182,Gregor TRABER,GER,13.65,0.136,Tokyo,110-metres-hurdles,men,heats,
5,6.0,2715,Shunya TAKAYAMA,JPN,13.98,0.153,Tokyo,110-metres-hurdles,men,heats,
6,7.0,2971,Jeremie LARARAUDEUSE,MRI,14.03 PB,0.132,Tokyo,110-metres-hurdles,men,heats,
7,8.0,1561,Fadane HAMADI,COM,14.99,0.189,Tokyo,110-metres-hurdles,men,heats,
8,,3348,Sergey SHUBENKOV,ANA,DNS,,Tokyo,110-metres-hurdles,men,heats,
0,1.0,1964,Aurel MANGA,FRA,13.24 Q =PB,0.154,Tokyo,110-metres-hurdles,men,heats,
1,2.0,2696,Shunsuke IZUMIYA,JPN,13.28 Q,0.122,Tokyo,110-metres-hurdles,men,heats,
2,3.0,1311,Rafael Henrique CAMPOS PEREIRA,BRA,13.46 Q,0.145,Tokyo,110-metres-hurdles,men,heats,
3,4.0,1507,Wenjun XIE,CHN,13.51 Q,0.147,Tokyo,110-metres-hurdles,men,heats,
4,5.0,3603,Kuei-Ru CHEN,TPE,13.53 q SB,0.161,Tokyo,110-metres-hurdles,men,heats,
5,6.0,2054,David KING,GBR,13.55 q,0.111,Tokyo,110-metres-hurdles,men,heats,
6,7.0,2379,Eddie LOVETT,ISV,14.17 SB,0.132,Tokyo,110-metres-hurdles,men,heats,
7,8.0,2261,Chung Wang CHAN,HKG,14.23,0.149,Tokyo,110-metres-hurdles,men,heats,
8,,1808,Orlando ORTEGA,ESP,DNS,,Tokyo,110-metres-hurdles,men,heats,
0,1.0,3901,Devon ALLEN,USA,13.21 Q,0.146,Tokyo,110-metres-hurdles,men,heats,
1,2.0,1965,Pascal MARTINOT-LAGARDE,FRA,13.37 Q SB,0.155,Tokyo,110-metres-hurdles,men,heats,
2,3.0,2697,Taio KANAI,JPN,13.41 Q,0.148,Tokyo,110-metres-hurdles,men,heats,
3,4.0,2417,Paolo DAL MOLIN,ITA,13.44 Q,0.151,Tokyo,110-metres-hurdles,men,heats,
4,5.0,1906,Elmo LAKKA,FIN,13.48 q,0.145,Tokyo,110-metres-hurdles,men,heats,
5,6.0,3396,Antonio ALKANA,RSA,13.55 SB,0.118,Tokyo,110-metres-hurdles,men,heats,
6,7.0,2220,Konstantinos DOUVALIDIS,GRE,13.63 SB,0.128,Tokyo,110-metres-hurdles,men,heats,
7,8.0,1327,Eduardo RODRIGUES,BRA,13.78,0.163,Tokyo,110-metres-hurdles,men,heats,
0,1.0,2597,Ronald LEVY,JAM,13.23 Q,0.154,Tokyo,110-metres-hurdles,men,semi-final,
1,2.0,1965,Pascal MARTINOT-LAGARDE,FRA,13.25 Q SB,0.155,Tokyo,110-metres-hurdles,men,semi-final,
2,3.0,1800,Asier MARTÍNEZ,ESP,13.27 q PB,0.15,Tokyo,110-metres-hurdles,men,semi-final,
3,4.0,2062,Andrew POZZI,GBR,13.32 q,0.148,Tokyo,110-metres-hurdles,men,semi-final,
4,5.0,3963,Daniel ROBERTS,USA,13.33,0.195,Tokyo,110-metres-hurdles,men,semi-final,
5,6.0,3189,Damian CZYKIER,POL,13.63,0.152,Tokyo,110-metres-hurdles,men,semi-final,
6,7.0,1086,Nicholas HOUGH,AUS,13.88,0.163,Tokyo,110-metres-hurdles,men,semi-final,
7,8.0,1313,Gabriel CONSTANTINO,BRA,13.89,0.159,Tokyo,110-metres-hurdles,men,semi-final,
0,1.0,3901,Devon ALLEN,USA,13.18 Q,0.121,Tokyo,110-metres-hurdles,men,semi-final,
1,2.0,1964,Aurel MANGA,FRA,13.24 Q =PB,0.151,Tokyo,110-metres-hurdles,men,semi-final,
2,3.0,2635,Damion THOMAS,JAM,13.39,0.135,Tokyo,110-metres-hurdles,men,semi-final,
3,4.0,2417,Paolo DAL MOLIN,ITA,13.40,0.133,Tokyo,110-metres-hurdles,men,semi-final,
4,5.0,3521,Jason JOSEPH,SUI,13.46,0.135,Tokyo,110-metres-hurdles,men,semi-final,
5,6.0,3603,Kuei-Ru CHEN,TPE,13.57,0.146,Tokyo,110-metres-hurdles,men,semi-final,
6,7.0,1906,Elmo LAKKA,FIN,13.67,0.139,Tokyo,110-metres-hurdles,men,semi-final,
7,8.0,2697,Taio KANAI,JPN,26.11,0.127,Tokyo,110-metres-hurdles,men,semi-final,
0,1.0,3934,Grant HOLLOWAY,USA,13.13 Q,0.13,Tokyo,110-metres-hurdles,men,semi-final,
1,2.0,2617,Hansle PARCHMENT,JAM,13.23 Q,0.145,Tokyo,110-metres-hurdles,men,semi-final,
2,3.0,2696,Shunsuke IZUMIYA,JPN,13.35,0.141,Tokyo,110-metres-hurdles,men,semi-final,
3,4.0,2277,Valdó SZŰCS,HUN,13.40,0.14,Tokyo,110-metres-hurdles,men,semi-final,
4,5.0,1507,Wenjun XIE,CHN,13.58,0.154,Tokyo,110-metres-hurdles,men,semi-final,
5,6.0,1311,Rafael Henrique CAMPOS PEREIRA,BRA,13.62,0.154,Tokyo,110-metres-hurdles,men,semi-final,
6,7.0,2054,David KING,GBR,13.67,0.141,Tokyo,110-metres-hurdles,men,semi-final,
7,8.0,1608,Milan TRAJKOVIC,CYP,14.01,0.147,Tokyo,110-metres-hurdles,men,semi-final,
0,1.0,2617,Hansle PARCHMENT,JAM,13.04 SB,0.13,Tokyo,110-metres-hurdles,men,final,
1,2.0,3934,Grant HOLLOWAY,USA,13.09,0.136,Tokyo,110-metres-hurdles,men,final,
2,3.0,2597,Ronald LEVY,JAM,13.10,0.146,Tokyo,110-metres-hurdles,men,final,
3,4.0,3901,Devon ALLEN,USA,13.14,0.133,Tokyo,110-metres-hurdles,men,final,
4,5.0,1965,Pascal MARTINOT-LAGARDE,FRA,13.16 SB,0.12,Tokyo,110-metres-hurdles,men,final,
5,6.0,1800,Asier MARTÍNEZ,ESP,13.22 PB,0.155,Tokyo,110-metres-hurdles,men,final,
6,7.0,2062,Andrew POZZI,GBR,13.30,0.14,Tokyo,110-metres-hurdles,men,final,
7,8.0,1964,Aurel MANGA,FRA,13.38,0.151,Tokyo,110-metres-hurdles,men,final,
0,1.0,840,Shericka JACKSON,JAM,11.02 Q,0.137,Eugene,100-metres,women,heats,
1,2.0,993,Zoe HOBBS,NZL,11.08 Q AR,0.151,Eugene,100-metres,women,heats,0.071
2,3.0,447,Anthonique STRACHAN,BAH,11.08 Q,0.147,Eugene,100-metres,women,heats,0.077
3,4.0,698,Imani LANSIQUOT,GBR,11.24,0.135,Eugene,100-metres,women,heats,
4,5.0,536,Xiaojing LIANG,CHN,11.25,0.132,Eugene,100-metres,women,heats,
5,6.0,894,Olga SAFRONOVA,KAZ,11.65,0.125,Eugene,100-metres,women,heats,
6,7.0,918,Mudhawi ALSHAMMARI,KUW,11.91,0.148,Eugene,100-metres,women,heats,
0,1.0,836,Shelly-Ann FRASER-PRYCE,JAM,10.87 Q,0.146,Eugene,100-metres,women,heats,
1,2.0,704,Daryll NEITA,GBR,10.95 Q SB,0.153,Eugene,100-metres,women,heats,
2,3.0,746,Gina LÜCKENKEMPER,GER,11.09 Q,0.195,Eugene,100-metres,women,heats,
3,4.0,444,TyNia GAITHER,BAH,11.16 q,0.119,Eugene,100-metres,women,heats,
4,5.0,530,Manqi GE,CHN,11.17 q,0.123,Eugene,100-metres,women,heats,
5,6.0,1063,Fatmata AWOLO,SLE,11.77,0.134,Eugene,100-metres,women,heats,
6,7.0,1062,Amya CLARKE,SKN,11.98,0.149,Eugene,100-metres,women,heats,
0,1.0,855,Elaine THOMPSON-HERAH,JAM,11.15 Q,0.143,Eugene,100-metres,women,heats,
1,2.0,970,Nzubechi Grace NWOKOCHA,NGR,11.16 Q,0.163,Eugene,100-metres,women,heats,
2,3.0,808,Zaynab DOSSO,ITA,11.26 Q,0.146,Eugene,100-metres,women,heats,
3,4.0,401,Joella LLOYD,ANT,11.27,0.159,Eugene,100-metres,women,heats,
4,5.0,799,Diana VAISMAN,ISR,11.29,0.148,Eugene,100-metres,women,heats,
5,6.0,496,Crystal EMMANUEL,CAN,11.48,0.122,Eugene,100-metres,women,heats,
6,7.0,917,Yasmeen ALDABBAGH,KSA,13.21,0.143,Eugene,100-metres,women,heats,
0,1.0,554,Marie-Josée TA LOU,CIV,10.92 Q SB,0.152,Eugene,100-metres,women,heats,
1,2.0,1211,Twanisha TERRY,USA,10.95 Q,0.137,Eugene,100-metres,women,heats,
2,3.0,846,Kemba NELSON,JAM,11.10 Q,0.133,Eugene,100-metres,women,heats,
3,4.0,1049,Carina HORN,RSA,11.29,0.126,Eugene,100-metres,women,heats,
4,5.0,1079,Géraldine FREY,SUI,11.30,0.125,Eugene,100-metres,women,heats,
5,6.0,928,Patrizia VAN DER WEKEN,LUX,11.34,0.138,Eugene,100-metres,women,heats,
6,7.0,942,Ka;alieena BIEN,MHL,14.71 PB,0.142,Eugene,100-metres,women,heats,
0,1.0,681,Dina ASHER-SMITH,GBR,10.84 Q SB,0.132,Eugene,100-metres,women,heats,
1,2.0,923,Julien ALFRED,LCA,11.05 Q,0.147,Eugene,100-metres,women,heats,
2,3.0,978,Aminatou SEYNI,NIG,11.09 Q,0.187,Eugene,100-metres,women,heats,
3,4.0,551,Murielle AHOURÉ,CIV,11.16 q,0.122,Eugene,100-metres,women,heats,
4,5.0,482,Vitoria Cristina ROSA,BRA,11.20,0.154,Eugene,100-metres,women,heats,
5,6.0,725,Alexandra BURGHARDT,GER,11.29 SB,0.128,Eugene,100-metres,women,heats,
6,7.0,1043,Hereiti BERNARDINO,PYF,12.90 SB,0.168,Eugene,100-metres,women,heats,
0,1.0,1171,Aleia HOBBS,USA,11.04 Q,0.124,Eugene,100-metres,women,heats,
1,2.0,1109,Michelle-Lee AHYE,TTO,11.18 Q,0.118,Eugene,100-metres,women,heats,
2,3.0,488,Edidiong Ofinome ODIONG,BRN,11.28 Q,0.175,Eugene,100-metres,women,heats,
3,4.0,492,Khamica BINGHAM,CAN,11.30,0.13,Eugene,100-metres,women,heats,
4,5.0,1077,Ajla DEL PONTE,SUI,11.41,0.11,Eugene,100-metres,women,heats,
5,6.0,775,Jasmine ABRAMS,GUY,11.55,0.135,Eugene,100-metres,women,heats,
6,7.0,979,Zarinae SAPONG,NMI,12.98 PB,0.229,Eugene,100-metres,women,heats,
0,1.0,1084,Mujinga KAMBUNDJI,SUI,10.97 Q,0.124,Eugene,100-metres,women,heats,
1,2.0,1175,Melissa JEFFERSON,USA,11.03 Q,0.127,Eugene,100-metres,women,heats,
2,3.0,1024,Ewa SWOBODA,POL,11.07 Q,0.119,Eugene,100-metres,women,heats,
3,4.0,430,Bree MASTERS,AUS,11.29 PB,0.117,Eugene,100-metres,women,heats,
4,5.0,618,Maria Isabel PÉREZ,ESP,11.30,0.159,Eugene,100-metres,women,heats,
5,6.0,1028,Lorène Dorcas BAZOLO,POR,11.44,0.127,Eugene,100-metres,women,heats,
6,7.0,1071,Jovita ARUNIA,SOL,13.15 PB,0.125,Eugene,100-metres,women,heats,
0,1.0,840,Shericka JACKSON,JAM,10.84 Q,0.128,Eugene,100-metres,women,semi-final,
1,2.0,681,Dina ASHER-SMITH,GBR,10.89 Q,0.143,Eugene,100-metres,women,semi-final,
2,3.0,1211,Twanisha TERRY,USA,11.04,0.15,Eugene,100-metres,women,semi-final,
3,4.0,970,Nzubechi Grace NWOKOCHA,NGR,11.16,0.139,Eugene,100-metres,women,semi-final,
4,5.0,978,Aminatou SEYNI,NIG,11.21,0.194,Eugene,100-metres,women,semi-final,
5,6.0,846,Kemba NELSON,JAM,11.25,0.159,Eugene,100-metres,women,semi-final,0.242
6,7.0,551,Murielle AHOURÉ,CIV,11.25,0.123,Eugene,100-metres,women,semi-final,0.243
7,,923,Julien ALFRED,LCA,DQ,0.095,Eugene,100-metres,women,semi-final,
0,1.0,855,Elaine THOMPSON-HERAH,JAM,10.82 Q,0.128,Eugene,100-metres,women,semi-final,
1,2.0,554,Marie-Josée TA LOU,CIV,10.87 Q SB,0.159,Eugene,100-metres,women,semi-final,
2,3.0,1175,Melissa JEFFERSON,USA,10.92 q,0.14,Eugene,100-metres,women,semi-final,
3,4.0,1084,Mujinga KAMBUNDJI,SUI,10.96 q,0.131,Eugene,100-metres,women,semi-final,
4,5.0,447,Anthonique STRACHAN,BAH,10.98 PB,0.119,Eugene,100-metres,women,semi-final,
5,6.0,1024,Ewa SWOBODA,POL,11.08,0.126,Eugene,100-metres,women,semi-final,
6,7.0,530,Manqi GE,CHN,11.13,0.132,Eugene,100-metres,women,semi-final,
7,8.0,488,Edidiong Ofinome ODIONG,BRN,11.56,0.158,Eugene,100-metres,women,semi-final,
0,1.0,836,Shelly-Ann FRASER-PRYCE,JAM,10.93 Q,0.153,Eugene,100-metres,women,semi-final,
1,2.0,1171,Aleia HOBBS,USA,10.95 Q,0.16,Eugene,100-metres,women,semi-final,
2,3.0,704,Daryll NEITA,GBR,10.97,0.157,Eugene,100-metres,women,semi-final,
3,4.0,746,Gina LÜCKENKEMPER,GER,11.08,0.182,Eugene,100-metres,women,semi-final,
4,5.0,993,Zoe HOBBS,NZL,11.13,0.151,Eugene,100-metres,women,semi-final,
5,6.0,1109,Michelle-Lee AHYE,TTO,11.24,0.12,Eugene,100-metres,women,semi-final,
6,7.0,808,Zaynab DOSSO,ITA,11.28,0.163,Eugene,100-metres,women,semi-final,
7,,444,TyNia GAITHER,BAH,DQ,0.093,Eugene,100-metres,women,semi-final,
0,1.0,836,Shelly-Ann FRASER-PRYCE,JAM,10.67 CR,0.137,Eugene,100-metres,women,final,
1,2.0,840,Shericka JACKSON,JAM,10.73 PB,0.134,Eugene,100-metres,women,final,
2,3.0,855,Elaine THOMPSON-HERAH,JAM,10.81,0.149,Eugene,100-metres,women,final,
3,4.0,681,Dina ASHER-SMITH,GBR,10.83 =NR,0.116,Eugene,100-metres,women,final,
4,5.0,1084,Mujinga KAMBUNDJI,SUI,10.91,0.122,Eugene,100-metres,women,final,
5,6.0,1171,Aleia HOBBS,USA,10.92,0.145,Eugene,100-metres,women,final,
6,7.0,554,Marie-Josée TA LOU,CIV,10.93,0.15,Eugene,100-metres,women,final,
7,8.0,1175,Melissa JEFFERSON,USA,11.03,0.136,Eugene,100-metres,women,final,
0,1.0,2211,Cesar ALMIRON,PAR,10.49 Q,0.134,Eugene,100-metres,men,preliminary-round,
1,2.0,2311,Ildar AKHMADIEV,TJK,10.66 Q,0.122,Eugene,100-metres,men,preliminary-round,
2,3.0,2114,Noureddine HADID,LBN,10.68 q SB,0.128,Eugene,100-metres,men,preliminary-round,
3,4.0,1590,Shaun GILL,BIZ,10.76 q,0.118,Eugene,100-metres,men,preliminary-round,
4,5.0,2140,Hassan SAAID,MDV,10.77 q SB,0.139,Eugene,100-metres,men,preliminary-round,
5,6.0,1852,Scott James FITI,FSM,11.61 SB,0.153,Eugene,100-metres,men,preliminary-round,
6,7.0,1588,Mipham Yoezer GURUNG,BHU,11.86 PB,0.138,Eugene,100-metres,men,preliminary-round,
0,1.0,1854,Ebrahima CAMARA,GAM,10.37 Q,0.125,Eugene,100-metres,men,preliminary-round,
1,2.0,1954,Lalu Muhammad ZOHRI,INA,10.46 Q =SB,0.133,Eugene,100-metres,men,preliminary-round,
2,3.0,1564,Imranur RAHMAN,BAN,10.47 q,0.148,Eugene,100-metres,men,preliminary-round,
3,4.0,2330,Karalo Hepoiteloto MAIBUCA,TUV,11.46 =SB,0.128,Eugene,100-metres,men,preliminary-round,
4,5.0,2214,Ignacio BLALUK,PLW,11.66 =PB,0.13,Eugene,100-metres,men,preliminary-round,
5,6.0,2309,Nehumi TUIHALAMAKA,TGA,12.22 =PB,0.142,Eugene,100-metres,men,preliminary-round,
6,,2113,Ahmed AMAAR,LBA,DNS,,Eugene,100-metres,men,preliminary-round,
0,1.0,1687,Lionel Tshimanga MUTEBA,COD,10.64 Q,0.139,Eugene,100-metres,men,preliminary-round,
1,2.0,1981,Hussein Ali AL KHAFAJI,IRQ,10.65 Q,0.126,Eugene,100-metres,men,preliminary-round,
2,3.0,2280,Francesco SANSOVINI,SMR,10.67 q,0.134,Eugene,100-metres,men,preliminary-round,
3,4.0,1938,Craig GILL,GIB,11.24 SB,0.167,Eugene,100-metres,men,preliminary-round,
4,5.0,2106,Lataisi MWEA,KIR,11.43,0.152,Eugene,100-metres,men,preliminary-round,
5,6.0,1524,Nathan CRUMPTON,ASA,11.71 SB,0.145,Eugene,100-metres,men,preliminary-round,
6,,1949,Boubacar BARRY,GUI,DNS,,Eugene,100-metres,men,preliminary-round,
0,1.0,1951,Emanuel ARCHIBALD,GUY,10.31 Q,0.127,Eugene,100-metres,men,preliminary-round,
1,2.0,1522,Dorian KELETELA,ART,10.48 Q,0.153,Eugene,100-metres,men,preliminary-round,
2,3.0,1952,Melique GARCIA,HON,10.70 q SB,0.142,Eugene,100-metres,men,preliminary-round,
3,4.0,2045,Omar ABUROUSS,JOR,11.24 SB,0.128,Eugene,100-metres,men,preliminary-round,
4,5.0,1501,Said GILANI,AFG,11.43 SB,0.118,Eugene,100-metres,men,preliminary-round,
5,6.0,1688,Tikove PIIRA,COK,11.56 SB,0.152,Eugene,100-metres,men,preliminary-round,
6,,1809,Ratu Banuve TABAKAUCORO,FIJ,DQ,0.096,Eugene,100-metres,men,preliminary-round,
0,1.0,2360,Marvin BRACY,USA,10.05 Q,0.115,Eugene,100-metres,men,heats,
1,2.0,2019,Ackeem BLAKE,JAM,10.15 Q,0.139,Eugene,100-metres,men,heats,
2,3.0,2176,Raymond EKEVWO,NGR,10.17 Q,0.116,Eugene,100-metres,men,heats,0.162
3,4.0,1512,Cejhae GREENE,ANT,10.17,0.135,Eugene,100-metres,men,heats,0.164
4,5.0,1528,Rohan BROWNING,AUS,10.22,0.109,Eugene,100-metres,men,heats,
5,6.0,1990,Chituru ALI,ITA,10.40,0.118,Eugene,100-metres,men,heats,
6,7.0,1954,Lalu Muhammad ZOHRI,INA,10.42 SB,0.116,Eugene,100-metres,men,heats,
7,8.0,2280,Francesco SANSOVINI,SMR,10.71,0.166,Eugene,100-metres,men,heats,
0,1.0,2389,Fred KERLEY,USA,9.79 Q,0.107,Eugene,100-metres,men,heats,
1,2.0,1875,Zharnel HUGHES,GBR,9.97 Q =SB,0.134,Eugene,100-metres,men,heats,
2,3.0,2116,Emmanuel MATADI,LBR,9.99 Q,0.143,Eugene,100-metres,men,heats,
